#{"t_start": 1788293058.8830578, "env_id": "None"}
r,l,t
-394.355473,167,259.275047
-369.590337,167,259.50675
-378.662525,167,259.741665
-387.922772,167,259.976327
-389.923802,167,260.211379
-366.257324,167,260.446638
-373.904983,167,260.705528
-413.750139,167,260.94797
-372.869737,167,261.189225
-401.074702,167,261.428635
-411.11964,167,261.74139
-393.529981,167,261.977497
-372.147125,167,262.212846
-384.90584,167,262.447239
-404.210549,167,262.683533
-395.586533,167,262.918733
-364.145842,167,263.15422
-377.732277,167,263.389282
-431.758577,167,263.626633
-401.917019,167,263.861459
-374.24169,167,264.094131
-375.52881,167,264.326947
-383.503495,167,264.633743
-386.662535,167,264.868679
-396.679833,167,265.103893
-396.799521,167,265.337254
-389.386352,167,265.571524
-365.692004,167,265.802923
-381.257452,167,266.034083
-375.632545,167,266.265432
-409.762628,167,266.496621
-378.572147,167,266.727952
-383.694239,167,266.960619
-383.475388,167,267.19599
-387.072543,167,267.504811
-403.727175,167,267.743871
-395.462411,167,267.979687
-379.575262,167,268.214742
-375.128267,167,268.449214
-387.893663,167,268.683447
-371.118221,167,268.915485
-356.463062,167,269.151559
-391.361716,167,269.387368
-377.788209,167,269.620474
-375.155832,167,269.853608
-382.633844,167,270.086415
-366.895287,167,270.394501
-374.022655,167,270.630133
-383.692125,167,270.865368
-393.426418,167,271.100985
-398.627036,167,271.335473
-383.727847,167,271.569917
-361.175486,167,271.804202
-393.805088,167,272.038222
-370.331928,167,272.272476
-379.206382,167,272.523682
-387.682363,167,272.906624
-401.356718,167,273.147379
-392.717254,167,273.383225
-379.946436,167,273.695832
-376.04783,167,273.93234
-402.026128,167,274.169198
-368.40454,167,274.40489
-376.082144,167,274.641164
-376.186077,167,274.877196
-381.185095,167,275.113168
-369.469067,167,275.349657
-384.757505,167,275.584983
-380.653725,167,275.827572
-362.560512,167,276.063632
-388.844472,167,276.299918
-381.082955,167,276.610542
-369.090434,167,276.848092
-413.583221,167,277.08569
-400.402965,167,277.329738
-379.015198,167,277.573542
-376.140324,167,277.818208
-379.435612,167,278.085821
-403.268718,167,278.334279
-403.502316,167,278.576807
-392.648733,167,278.817402
-377.590537,167,279.057434
-391.141322,167,279.296416
-413.126909,167,279.611799
-358.240054,167,279.854006
-407.866969,167,280.092427
-383.902696,167,280.329787
-376.513227,167,280.568911
-383.609231,167,280.807345
-385.294845,167,281.044308
-410.08986,167,281.301962
-375.568492,167,281.541453
-370.721448,167,281.797264
-374.638005,167,282.036068
-382.506201,167,282.277025
-408.379198,167,282.518515
-375.030238,167,282.838142
-369.9406,167,283.077976
-382.831848,167,283.317111
-369.821596,167,283.554897
-382.985603,167,283.79322
-385.773866,167,284.032196
-375.214008,167,284.269777
-369.483884,167,284.507562
-396.839996,167,284.750458
-368.697709,167,284.988639
-374.435646,167,285.226605
-376.971726,167,285.464878
-397.257851,167,285.779254
-371.29982,167,286.013757
-372.145902,167,286.257484
-379.969983,167,286.496958
-385.222922,167,286.735339
-366.533257,167,286.975064
-380.092787,167,287.215916
-398.982258,167,287.453978
-370.045336,167,287.710159
-356.277398,167,287.952608
-365.656365,167,288.190118
-410.983987,167,288.424519
-377.327466,167,288.858033
-380.488319,167,289.096885
-385.262735,167,289.335846
-388.248552,167,289.573385
-408.640017,167,289.817605
-356.131365,167,290.053425
-380.950989,167,290.294411
-374.075368,167,290.535708
-376.268629,167,290.785919
-372.069461,167,291.043449
-406.402768,167,291.282743
-376.668496,167,291.520815
