#{"t_start": 1788293058.8830578, "env_id": "None"}
r,l,t
-518.765934,167,59.301235
-554.626412,167,59.547052
-503.357284,167,59.862683
-522.237191,167,60.100652
-549.186979,167,60.33707
-662.389379,167,60.573485
-577.895364,167,60.809202
-572.752852,167,61.044571
-504.982695,167,61.281078
-533.360663,167,61.516821
-615.525425,167,61.752653
-533.060757,167,61.988169
-479.623659,167,62.223967
-543.585264,167,62.459655
-538.631191,167,62.770669
-533.604924,167,63.006963
-506.85325,167,63.243166
-510.450334,167,63.478725
-505.697827,167,63.714238
-536.72665,167,63.949559
-562.988058,167,64.185189
-537.328605,167,64.420787
-581.886493,167,64.65702
-551.477506,167,64.893377
-499.185783,167,65.129457
-571.713452,167,65.363907
-516.876284,167,65.673682
-529.626109,167,65.909777
-491.21396,167,66.147625
-510.683038,167,66.383245
-527.941494,167,66.618212
-514.812298,167,66.853471
-596.288263,167,67.088584
-544.804725,167,67.323846
-587.719548,167,67.559329
-515.644722,167,67.795335
-520.704073,167,68.030609
-537.556944,167,68.266558
-589.540352,167,68.501888
-766.229841,167,68.809709
-487.990776,167,69.044074
-546.241004,167,69.276509
-473.395059,167,69.507816
-460.739828,167,69.739168
-556.673793,167,69.970167
-532.733864,167,70.20174
-493.013783,167,70.433134
-525.115385,167,70.664325
-516.195011,167,70.895899
-576.179393,167,71.129096
-538.186314,167,71.37042
-529.366761,167,71.679647
-558.321037,167,71.91196
-478.720077,167,72.144101
-588.990703,167,72.375618
-489.325051,167,72.606938
-486.610778,167,72.845448
-516.637193,167,73.08162
-531.618125,167,73.317161
-504.319765,167,73.552354
-505.394398,167,73.787521
-477.479356,167,74.030059
-511.633256,167,74.268208
-496.651844,167,74.578182
-511.268644,167,74.815304
-484.051632,167,75.052576
-616.792832,167,75.290948
-483.369216,167,75.526795
-549.173378,167,75.763265
-505.1343,167,75.999108
-504.082455,167,76.235395
-609.391203,167,76.47106
-533.89933,167,76.706813
-526.63515,167,76.941929
-609.705038,167,77.177334
-529.988314,167,77.484655
-510.442401,167,77.723052
-491.991244,167,77.959282
-517.079523,167,78.19592
-529.196249,167,78.432068
-542.813828,167,78.66832
-535.807861,167,78.90423
-444.197316,167,79.140036
-522.829209,167,79.371823
-508.236469,167,79.60371
-504.716834,167,79.835062
-512.858727,167,80.066687
-451.088554,167,80.298806
-481.568267,167,80.603946
-511.937049,167,80.836155
-502.061243,167,81.067618
-526.028301,167,81.299895
-598.241217,167,81.531708
-511.600624,167,81.763784
-484.197445,167,81.995415
-521.462327,167,82.227317
-497.08294,167,82.45875
-503.561931,167,82.690779
-497.27879,167,82.922207
-495.708692,167,83.153912
-577.742545,167,83.461026
-485.508703,167,83.694035
-561.054799,167,83.92655
-465.130219,167,84.159169
-525.429525,167,84.391768
-453.832807,167,84.624251
-509.894755,167,84.856735
-470.50844,167,85.088909
-455.152819,167,85.321755
-488.438606,167,85.554395
-522.959136,167,85.786869
-485.161614,167,86.018876
-559.974059,167,86.324671
-440.245194,167,86.556107
-492.079418,167,86.787253
-524.639058,167,87.018305
-518.917655,167,87.256031
-498.445186,167,87.48756
-475.104135,167,87.719326
-578.304604,167,87.950785
-498.731124,167,88.184237
-514.9583,167,88.470379
-521.765335,167,88.708654
-522.90053,167,88.945473
-445.900599,167,89.25663
-453.512932,167,89.49419
-534.943186,167,89.729422
-581.450304,167,89.964716
-516.926655,167,90.200526
-595.432923,167,90.434088
-487.911071,167,90.667012
-626.187257,167,90.899572
-486.732879,167,91.13216
-572.364185,167,91.365078
-735.168493,167,91.597817
-496.754167,167,91.830677
-589.484857,167,92.062745
-437.903819,167,92.370188
-493.003099,167,92.602957
-448.383285,167,92.836094
-473.078886,167,93.068644
-471.671152,167,93.301385
-584.606064,167,93.533919
-485.163118,167,93.76661
-478.331717,167,93.999112
-482.738788,167,94.232007
-549.138735,167,94.464446
-477.402282,167,94.696793
-535.002502,167,94.929219
-480.443119,167,95.237259
-494.315069,167,95.472843
-499.787164,167,95.707998
-447.488952,167,95.943058
-429.414518,167,96.17809
-450.032556,167,96.412962
-516.183801,167,96.647608
-476.285142,167,96.88219
-481.807329,167,97.121514
-475.372129,167,97.356544
-718.779022,167,97.591198
-468.159306,167,97.82664
-516.352564,167,98.136172
-489.963484,167,98.370444
-488.092657,167,98.601419
-465.797774,167,98.83244
-490.618582,167,99.063034
-481.736065,167,99.29404
-489.477343,167,99.525264
-506.646416,167,99.756272
-446.540087,167,99.986797
-559.084155,167,100.217775
-491.120698,167,100.448258
-452.709241,167,100.678808
-520.113015,167,100.986631
-495.528789,167,101.222662
-439.727073,167,101.46435
-518.899158,167,101.704199
-428.286833,167,101.936332
-494.982735,167,102.169036
-446.041404,167,102.402593
-450.862384,167,102.635176
-497.492804,167,102.879139
-469.397036,167,103.117623
-510.152933,167,103.352961
-500.082838,167,103.589563
-487.568739,167,103.82507
-508.104879,167,104.136376
-530.076901,167,104.369378
-462.473646,167,104.601186
-489.891185,167,104.832557
-447.789055,167,105.063981
-472.659675,167,105.296355
-473.636465,167,105.528486
-534.689707,167,105.76015
-463.048855,167,105.991923
-446.488051,167,106.223667
-467.447265,167,106.455075
-472.436443,167,106.686543
-449.709463,167,106.993089
-550.197215,167,107.228398
-449.36917,167,107.464273
-476.141637,167,107.700935
-450.707603,167,107.936804
-481.839153,167,108.172852
-433.041692,167,108.408316
-447.11164,167,108.643789
-454.21445,167,108.876162
-447.535307,167,109.108402
-453.120114,167,109.340312
-465.569977,167,109.572269
-522.390786,167,109.877569
-453.527942,167,110.110305
-457.148936,167,110.342178
-570.59274,167,110.57411
-422.683355,167,110.805776
-474.262131,167,111.037228
-484.374595,167,111.269168
-470.931956,167,111.500836
-473.81003,167,111.732471
-470.166113,167,111.963604
-428.731513,167,112.195399
-518.637272,167,112.427051
-448.434365,167,112.65903
-494.626062,167,112.967778
-459.174053,167,113.203954
-446.261843,167,113.43952
-433.842922,167,113.674876
-453.02701,167,113.910101
-554.957247,167,114.145236
-447.513638,167,114.380806
-421.546101,167,114.615952
-476.866767,167,114.852003
-456.751608,167,115.08761
-451.741531,167,115.323502
-561.711111,167,115.558949
-452.775648,167,115.867865
-435.39597,167,116.107248
-451.244049,167,116.342667
-446.101479,167,116.577941
-440.666856,167,116.812828
-467.890538,167,117.051901
-512.637799,167,117.290832
-456.675824,167,117.526835
-458.113526,167,117.764205
-430.016359,167,118.000499
-456.192409,167,118.237331
-609.501704,167,118.473478
-487.613864,167,118.781227
-448.107738,167,119.016656
-433.610843,167,119.252025
-463.799717,167,119.487332
-463.061957,167,119.722236
-449.029182,167,119.957106
-482.354092,167,120.19173
-476.601483,167,120.426233
-471.256684,167,120.660543
-474.189036,167,120.894969
-521.765698,167,121.1295
-452.732693,167,121.363789
-505.127395,167,121.670398
-457.536314,167,121.904388
-419.946171,167,122.137113
-456.39956,167,122.369774
-444.999657,167,122.601682
-442.50871,167,122.837404
-473.560132,167,123.072451
-427.569227,167,123.305433
-479.073523,167,123.537752
-474.09845,167,123.770237
-475.412518,167,124.00242
-442.842246,167,124.235352
-440.106671,167,124.467263
-460.171543,167,124.774997
-488.908139,167,125.00708
-431.81408,167,125.23986
-437.572223,167,125.472785
-442.674017,167,125.705153
-427.15588,167,125.936909
-458.747446,167,126.170668
-448.747244,167,126.402789
-462.835279,167,126.634564
-420.379301,167,126.866636
-456.494734,167,127.098231
-455.43296,167,127.329949
-425.884527,167,127.635495
-471.369728,167,127.868138
-484.307468,167,128.10041
-493.652966,167,128.332763
-457.978153,167,128.564275
-440.702193,167,128.796264
-436.914263,167,129.040365
-465.048738,167,129.282275
-465.344147,167,129.521752
-460.293754,167,129.760371
-460.248835,167,129.997753
-413.745077,167,130.236915
-457.83768,167,130.550055
-463.641441,167,130.790559
-457.280253,167,131.38018
-425.331144,167,131.77009
-474.202262,167,132.020559
-414.878746,167,132.263202
-455.710138,167,132.5055
-476.871222,167,132.755145
-454.419607,167,132.993165
-443.466269,167,133.22923
-424.270862,167,133.465351
-434.839499,167,133.701115
-454.934599,167,134.010912
-453.051556,167,134.247407
-439.711018,167,134.48312
-444.75686,167,134.719031
-424.543143,167,134.95439
-448.592377,167,135.189851
-450.92955,167,135.426604
-451.697714,167,135.662102
-436.459159,167,135.897438
-396.070077,167,136.13276
-434.889092,167,136.367937
-450.106691,167,136.60312
-440.111039,167,136.837327
-443.004858,167,137.146299
-432.439848,167,137.382434
-430.344787,167,137.618231
-442.011963,167,137.854558
-429.192253,167,138.090812
-440.287437,167,138.325633
-450.996121,167,138.55849
-431.72206,167,138.791233
-419.950982,167,139.024228
-418.563982,167,139.303899
-427.745416,167,139.53569
-416.051387,167,139.766853
-418.988885,167,140.117526
-457.272551,167,140.352281
-418.104707,167,140.586029
-448.673233,167,140.820482
-455.642575,167,141.054699
-442.161445,167,141.289491
-422.239818,167,141.523555
-452.771093,167,141.757611
-427.568232,167,141.991122
-519.677839,167,142.225298
-433.583525,167,142.458972
-494.756154,167,142.693564
-431.70126,167,143.000067
-422.963089,167,143.232818
-438.247258,167,143.46437
-448.084273,167,143.695981
-439.977438,167,143.927849
-436.04681,167,144.159743
-493.756645,167,144.391575
-459.053634,167,144.622695
-415.074561,167,144.854064
-419.288217,167,145.085452
-451.421208,167,145.327755
-451.943875,167,145.56203
-475.890591,167,145.865847
-433.323623,167,146.101502
-457.030272,167,146.336607
-424.847052,167,146.577905
-444.81576,167,146.816503
-427.162057,167,147.052013
-424.140325,167,147.287959
-449.577207,167,147.522885
-416.245875,167,147.759873
-408.701292,167,147.995025
-396.703633,167,148.228262
-445.382803,167,148.46116
-431.735022,167,148.693377
-416.431492,167,149.000075
-405.277291,167,149.233361
-449.500984,167,149.465563
-430.839199,167,149.697275
